Local time,Open,High,Low,Close,Volume
02.01.2023 13:19:00.000 GMT+0100,826.927,826.927,826.154,826.167,0.0113
02.01.2023 13:20:00.000 GMT+0100,825.939,826.331,825.939,826.148,0.0113
02.01.2023 13:21:00.000 GMT+0100,825.952,826.161,825.927,825.927,0.0081
02.01.2023 13:23:00.000 GMT+0100,825.949,825.949,825.949,825.949,0.0016
02.01.2023 13:26:00.000 GMT+0100,825.715,825.952,825.715,825.763,0.0049
02.01.2023 13:27:00.000 GMT+0100,825.949,825.949,825.589,825.770,0.0081
02.01.2023 13:28:00.000 GMT+0100,825.740,825.740,825.567,825.721,0.0049
02.01.2023 13:30:00.000 GMT+0100,825.745,825.745,825.515,825.515,0.0032
02.01.2023 13:32:00.000 GMT+0100,825.342,825.342,824.954,824.954,0.0065
02.01.2023 13:33:00.000 GMT+0100,824.799,824.958,824.789,824.951,0.0065
02.01.2023 13:34:00.000 GMT+0100,824.534,824.757,824.534,824.534,0.0065
02.01.2023 13:35:00.000 GMT+0100,824.721,824.770,824.561,824.770,0.0065
02.01.2023 13:37:00.000 GMT+0100,824.789,824.789,824.789,824.789,0.0016
02.01.2023 13:38:00.000 GMT+0100,824.524,824.748,824.524,824.748,0.0032
02.01.2023 13:39:00.000 GMT+0100,824.530,824.746,824.530,824.736,0.0049
02.01.2023 13:40:00.000 GMT+0100,824.548,824.745,824.548,824.555,0.0049
02.01.2023 13:41:00.000 GMT+0100,824.757,824.757,824.131,824.540,0.0113
02.01.2023 13:42:00.000 GMT+0100,824.345,824.539,824.345,824.539,0.0049
02.01.2023 13:44:00.000 GMT+0100,824.340,824.561,824.340,824.561,0.0032
02.01.2023 13:45:00.000 GMT+0100,824.337,824.524,824.145,824.340,0.0081
02.01.2023 13:47:00.000 GMT+0100,824.557,824.557,824.328,824.328,0.0049
02.01.2023 13:50:00.000 GMT+0100,824.955,824.955,824.754,824.754,0.0032
02.01.2023 13:51:00.000 GMT+0100,824.936,824.936,824.936,824.936,0.0016
02.01.2023 13:54:00.000 GMT+0100,824.918,824.942,824.918,824.933,0.0049
02.01.2023 13:55:00.000 GMT+0100,824.773,824.957,824.773,824.957,0.0032
02.01.2023 13:57:00.000 GMT+0100,824.952,825.336,824.952,825.167,0.0065
02.01.2023 13:58:00.000 GMT+0100,824.924,825.124,824.924,824.961,0.0049
02.01.2023 13:59:00.000 GMT+0100,824.970,824.970,824.970,824.970,0.0016
02.01.2023 14:00:00.000 GMT+0100,824.767,824.767,824.740,824.740,0.0032
02.01.2023 14:01:00.000 GMT+0100,824.758,824.763,824.758,824.763,0.0032
02.01.2023 14:02:00.000 GMT+0100,824.961,825.315,824.961,825.315,0.0049
02.01.2023 14:03:00.000 GMT+0100,825.546,825.958,825.543,825.958,0.0097
02.01.2023 14:07:00.000 GMT+0100,826.130,826.130,826.130,826.130,0.0016
02.01.2023 14:08:00.000 GMT+0100,826.357,826.357,826.357,826.357,0.0016
02.01.2023 14:09:00.000 GMT+0100,826.151,826.151,826.151,826.151,0.0016
02.01.2023 14:10:00.000 GMT+0100,826.324,826.324,826.324,826.324,0.0016
02.01.2023 14:11:00.000 GMT+0100,826.539,826.734,826.521,826.554,0.0065
02.01.2023 14:12:00.000 GMT+0100,826.760,826.760,826.760,826.760,0.0016
02.01.2023 14:13:00.000 GMT+0100,826.748,827.157,826.748,827.157,0.0032
02.01.2023 14:14:00.000 GMT+0100,827.137,827.137,827.137,827.137,0.0016
02.01.2023 14:15:00.000 GMT+0100,827.337,827.337,827.128,827.128,0.0032
02.01.2023 14:18:00.000 GMT+0100,826.733,826.967,826.525,826.528,0.0097
02.01.2023 14:19:00.000 GMT+0100,826.730,826.730,826.373,826.570,0.0065
02.01.2023 14:20:00.000 GMT+0100,826.573,826.573,826.137,826.370,0.0065
02.01.2023 14:21:00.000 GMT+0100,826.318,826.373,826.146,826.146,0.0065
02.01.2023 14:22:00.000 GMT+0100,826.327,826.327,826.327,826.327,0.0016
02.01.2023 14:25:00.000 GMT+0100,826.542,826.557,826.542,826.557,0.0032
02.01.2023 14:26:00.000 GMT+0100,826.727,826.755,826.515,826.755,0.0081
02.01.2023 14:31:00.000 GMT+0100,826.524,826.758,826.325,826.742,0.0113
02.01.2023 14:32:00.000 GMT+0100,826.563,826.761,826.557,826.761,0.0065
02.01.2023 14:33:00.000 GMT+0100,826.567,826.725,826.567,826.725,0.0032
02.01.2023 14:35:00.000 GMT+0100,826.548,826.757,826.548,826.757,0.0032
02.01.2023 14:38:00.000 GMT+0100,826.567,826.734,826.115,826.337,0.013
02.01.2023 14:39:00.000 GMT+0100,826.564,826.564,826.564,826.564,0.0016
02.01.2023 14:40:00.000 GMT+0100,826.154,826.154,826.154,826.154,0.0016
02.01.2023 14:41:00.000 GMT+0100,825.933,825.933,825.933,825.933,0.0016
02.01.2023 14:42:00.000 GMT+0100,826.589,826.724,826.589,826.724,0.0032
02.01.2023 14:43:00.000 GMT+0100,826.563,826.563,826.563,826.563,0.0016
02.01.2023 14:44:00.000 GMT+0100,826.761,826.940,826.740,826.740,0.0049
02.01.2023 14:45:00.000 GMT+0100,826.525,826.773,826.518,826.518,0.0049
02.01.2023 14:46:00.000 GMT+0100,826.331,826.399,826.125,826.399,0.0065
02.01.2023 14:48:00.000 GMT+0100,826.118,826.327,826.118,826.327,0.0032
02.01.2023 14:49:00.000 GMT+0100,825.942,826.199,825.942,826.199,0.0032
02.01.2023 14:51:00.000 GMT+0100,825.537,825.542,825.537,825.542,0.0032
02.01.2023 14:52:00.000 GMT+0100,825.915,826.142,825.915,825.930,0.0097
02.01.2023 14:53:00.000 GMT+0100,826.145,826.145,825.945,825.945,0.0032
02.01.2023 14:54:00.000 GMT+0100,825.761,825.989,825.761,825.989,0.0032
02.01.2023 14:55:00.000 GMT+0100,826.127,826.127,826.127,826.127,0.0016
02.01.2023 14:59:00.000 GMT+0100,825.927,825.934,825.748,825.934,0.0049
02.01.2023 15:00:00.000 GMT+0100,825.967,825.967,825.918,825.918,0.0049
02.01.2023 15:01:00.000 GMT+0100,825.748,825.748,825.748,825.748,0.0016
02.01.2023 15:03:00.000 GMT+0100,825.539,825.539,824.740,824.760,0.0146
02.01.2023 15:04:00.000 GMT+0100,824.930,824.930,824.340,824.342,0.0162
02.01.2023 15:05:00.000 GMT+0100,824.318,824.342,824.121,824.121,0.0049
02.01.2023 15:06:00.000 GMT+0100,823.951,823.951,823.324,823.749,0.0146
02.01.2023 15:07:00.000 GMT+0100,823.749,823.927,823.749,823.927,0.0032
02.01.2023 15:09:00.000 GMT+0100,823.518,824.149,823.518,823.936,0.0065
02.01.2023 15:11:00.000 GMT+0100,823.752,823.946,823.530,823.734,0.0081
02.01.2023 15:13:00.000 GMT+0100,823.925,823.925,823.925,823.925,0.0016
02.01.2023 15:14:00.000 GMT+0100,823.930,823.930,823.355,823.355,0.0049
02.01.2023 15:15:00.000 GMT+0100,823.757,824.133,823.530,824.133,0.0081
02.01.2023 15:16:00.000 GMT+0100,823.915,824.158,823.915,824.158,0.0032
02.01.2023 15:18:00.000 GMT+0100,824.373,824.557,824.124,824.557,0.0065
02.01.2023 15:19:00.000 GMT+0100,824.799,825.173,824.758,825.173,0.0113
02.01.2023 15:20:00.000 GMT+0100,824.949,825.173,824.927,824.960,0.0081
02.01.2023 15:21:00.000 GMT+0100,825.124,825.124,825.124,825.124,0.0016
02.01.2023 15:22:00.000 GMT+0100,824.934,825.157,824.934,825.115,0.0065
02.01.2023 15:23:00.000 GMT+0100,824.773,825.131,824.773,825.124,0.0081
02.01.2023 15:25:00.000 GMT+0100,825.121,825.137,825.121,825.121,0.0049
02.01.2023 15:26:00.000 GMT+0100,824.999,825.137,824.999,825.137,0.0049
02.01.2023 15:27:00.000 GMT+0100,825.557,825.557,825.557,825.557,0.0016
02.01.2023 15:28:00.000 GMT+0100,825.770,825.963,825.770,825.963,0.0032
02.01.2023 15:30:00.000 GMT+0100,826.152,826.158,825.939,826.158,0.0049
02.01.2023 15:31:00.000 GMT+0100,825.730,825.730,825.730,825.730,0.0016
02.01.2023 15:32:00.000 GMT+0100,825.999,826.131,825.999,826.131,0.0032
02.01.2023 15:33:00.000 GMT+0100,826.139,826.139,825.955,825.955,0.0049
02.01.2023 15:34:00.000 GMT+0100,826.145,826.145,826.145,826.145,0.0016
02.01.2023 15:35:00.000 GMT+0100,826.163,826.164,826.163,826.164,0.0032
02.01.2023 15:36:00.000 GMT+0100,826.142,826.160,825.921,826.160,0.0065
02.01.2023 15:37:00.000 GMT+0100,825.963,825.963,825.943,825.943,0.0049
02.01.2023 15:38:00.000 GMT+0100,825.755,825.755,825.755,825.755,0.0016
02.01.2023 15:39:00.000 GMT+0100,825.373,825.373,824.933,825.173,0.0162
02.01.2023 15:40:00.000 GMT+0100,824.970,824.970,824.348,824.348,0.0146
02.01.2023 15:41:00.000 GMT+0100,824.173,824.525,823.924,824.134,0.0113
02.01.2023 15:43:00.000 GMT+0100,823.761,823.931,823.761,823.931,0.0032
02.01.2023 15:45:00.000 GMT+0100,823.946,823.967,823.946,823.967,0.0032
02.01.2023 15:47:00.000 GMT+0100,824.152,824.943,824.152,824.567,0.013
02.01.2023 15:48:00.000 GMT+0100,824.970,825.342,824.737,825.140,0.013
02.01.2023 15:49:00.000 GMT+0100,825.173,825.570,825.142,825.342,0.0178
02.01.2023 15:50:00.000 GMT+0100,825.131,825.131,825.131,825.131,0.0016
02.01.2023 15:51:00.000 GMT+0100,824.925,825.145,824.925,825.127,0.0065
